"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-05-30 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_p5rb1m5w"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180530,1,53.5,53.5,3,2,0.75,0,0
20180531,0,0,0,0,0,0,0,0
20180601,0,0,0,0,0,0,0,0
20180602,0,0,0,0,0,0,0,0
20180603,0,0,0,0,0,0,0,0
20180604,0,0,0,0,0,0,0,0
20180605,0,0,0,0,0,0,0,0
20180606,0,0,0,0,0,0,0,0
20180607,0,0,0,0,0,0,0,0
20180608,0,0,0,0,0,0,0,0
20180609,0,0,0,0,0,0,0,0
20180610,0,0,0,0,0,0,0,0
20180611,0,0,0,0,0,0,0,0
20180612,0,0,0,0,0,0,0,0
20180613,0,0,0,0,0,0,0,0
20180614,0,0,0,4,1,0,0,0
20180615,2,35.666666666667,17.833333333333,8,2,0.25,0,0
20180616,6,249.7,41.616666666667,11,1,0.58333333333333,0,0
20180617,2,89.2,44.6,3,1,0.625,0,0
20180618,4,17.833333333333,4.4583333333333,9,1,0.0625,0,0
20180619,9,321.03333333333,35.67037037037,20,1,0.5,0,0
20180620,1,35.666666666667,35.666666666667,4,1,0.5,0,0
20180621,1,35.683333333333,35.683333333333,4,1,0.5,0,0
20180622,5,53.5,10.7,11,1,0.15,0,0
20180623,7,249.7,35.671428571429,10,1,0.5,0,0
20180624,1,0,0,4,1,0,0,0
20180625,2,17.833333333333,8.9166666666667,5,1,0.125,0,0
20180626,3,17.833333333333,5.9444444444444,5,1,0.083333333333333,0,0
20180627,2,89.166666666667,44.583333333333,7,1,0.625,0,0
20180628,2,0,0,2,1,0,0,0
20180629,5,124.83333333333,24.966666666667,7,1,0.35,0,0
20180630,4,89.166666666667,22.291666666667,10,1,0.3125,0,0
20180701,2,142.68333333333,71.341666666667,5,1,1,0,0
20180702,2,17.833333333333,8.9166666666667,5,1,0.125,0,0
20180703,1,53.516666666667,53.516666666667,5,1,0.75,0,0
20180704,2,71.35,35.675,3,1,0.5,0,0
20180705,3,89.183333333333,29.727777777778,5,1,0.41666666666667,0,0
20180706,1,0,0,3,1,0,0,0
20180707,1,35.666666666667,35.666666666667,5,1,0.5,0,0
20180708,3,107,35.666666666667,4,1,0.5,0,0
20180709,6,160.51666666667,26.752777777778,7,1,0.375,0,0
20180710,0,0,0,2,1,0,0,0
20180711,2,0,0,2,1,0,0,0
20180712,6,107,17.833333333333,7,1,0.25,0,0
20180713,12,178.35,14.8625,14,1,0.20833333333333,0,0
20180714,4,142.66666666667,35.666666666667,6,1,0.5,0,0
20180715,10,231.86666666667,23.186666666667,17,1,0.325,0,0
20180716,7,231.86666666667,33.12380952381,10,1,0.46428571428571,0,0
20180717,8,160.5,20.0625,11,1,0.28125,0,0
20180718,4,53.5,13.375,10,1,0.1875,0,0
20180719,5,214.01666666667,42.803333333333,6,1,0.6,0,0
20180720,3,71.35,23.783333333333,5,1,0.33333333333333,0,0
20180721,4,17.833333333333,4.4583333333333,6,1,0.0625,0,0
20180722,0,0,0,2,1,0,0,0
20180723,6,107,17.833333333333,7,1,0.25,0,0
20180724,6,124.85,20.808333333333,8,1,0.29166666666667,0,0
20180725,16,285.36666666667,17.835416666667,23,1,0.25,0,0
20180726,5,0,0,8,1,0,0,0
20180727,3,35.666666666667,11.888888888889,3,1,0.16666666666667,0,0
20180728,2,0,0,4,1,0,0,0
20180729,3,53.5,17.833333333333,8,1,0.25,0,0
20180730,2,89.166666666667,44.583333333333,3,1,0.625,0,0
20180731,1,0,0,4,1,0,0,0
20180801,0,0,0,3,1,0,0,0
20180802,2,53.5,26.75,4,1,0.375,0,0
20180803,0,0,0,1,1,0,0,0
20180804,1,0,0,1,1,0,0,0
20180805,7,445.91666666667,63.702380952381,9,1,0.89285714285714,0,0
20180806,0,0,0,1,1,0,0,0
20180807,2,107.01666666667,53.508333333333,3,1,0.75,0,0
20180808,0,0,0,1,1,0,0,0
20180809,2,142.7,71.35,2,1,1,0,0
20180810,0,53.5,0,1,1,0,0,0
20180811,3,53.5,17.833333333333,4,1,0.25,0,0
20180812,0,0,0,2,1,0,0,0
20180813,1,0,0,2,1,0,0,0
20180814,0,17.833333333333,0,0,1,0,0,0
20180815,1,0,0,5,1,0,0,0
20180816,1,0,0,1,1,0,0,0
20180817,0,0,0,0,0,0,0,0
20180818,1,0,0,2,1,0,0,0
20180819,0,0,0,0,0,0,0,0
20180820,1,0,0,1,1,0,0,0
20180821,1,0,0,2,1,0,0,0
20180822,3,0,0,6,1,0,0,0
20180823,1,71.35,71.35,2,1,1,0,0
20180824,0,0,0,1,1,0,0,0
20180825,0,0,0,0,0,0,0,0
20180826,1,53.5,53.5,2,1,0.75,0,0
20180827,0,0,0,0,0,0,0,0
20180828,1,71.35,71.35,2,1,1,0,0
20180829,0,0,0,0,0,0,0,0
20180830,0,0,0,0,0,0,0,0
20180831,0,0,0,0,0,0,0,0
20180901,1,71.35,71.35,2,1,1,0,0
20180902,0,0,0,1,1,0,0,0
20180903,0,0,0,0,0,0,0,0
20180904,0,0,0,0,0,0,0,0
20180905,0,0,0,0,0,0,0,0
20180906,1,35.666666666667,35.666666666667,1,1,0.5,0,0
20180907,8,124.83333333333,15.604166666667,10,1,0.21875,0,0
20180908,9,142.66666666667,15.851851851852,25,1,0.22222222222222,0,0
20180909,26,303.18333333333,11.660897435897,50,1,0.16346153846154,0,0
20180910,18,428.03333333333,23.77962962963,34,1,0.33333333333333,0,0
20180911,11,303.2,27.563636363636,23,1,0.38636363636364,0,0
20180912,8,160.51666666667,20.064583333333,21,1,0.28125,0,0
20180913,7,249.68333333333,35.669047619048,13,1,0.5,0,0
20180914,8,321.03333333333,40.129166666667,11,1,0.5625,0,0
20180915,6,142.66666666667,23.777777777778,12,1,0.33333333333333,0,0
20180916,4,71.35,17.8375,20,1,0.25,0,0
20180917,7,142.66666666667,20.380952380952,11,1,0.28571428571429,0,0
20180918,5,89.166666666667,17.833333333333,11,1,0.25,0,0
20180919,22,677.66666666667,30.80303030303,30,1,0.43181818181818,0,0
20180920,1,53.5,53.5,6,1,0.75,0,0
20180921,3,53.5,17.833333333333,9,1,0.25,0,0
20180922,1,0,0,4,1,0,0,0
20180923,5,53.5,10.7,9,1,0.15,0,0
20180924,1,71.333333333333,71.333333333333,4,1,1,0,0
20180925,3,17.833333333333,5.9444444444444,7,1,0.083333333333333,0,0
20180926,3,53.5,17.833333333333,4,1,0.25,0,0
20180927,2,53.5,26.75,5,1,0.375,0,0
20180928,3,53.5,17.833333333333,8,1,0.25,0,0
20180929,9,35.666666666667,3.962962962963,15,1,0.055555555555556,0,0
20180930,9,160.51666666667,17.835185185185,16,1,0.25,0,0
20181001,4,17.833333333333,4.4583333333333,6,1,0.0625,0,0
20181002,3,89.166666666667,29.722222222222,7,1,0.41666666666667,0,0
20181003,2,71.35,35.675,2,1,0.5,0,0
20181004,0,0,0,0,0,0,0,0
20181005,1,0,0,1,1,0,0,0
20181006,1,71.35,71.35,4,1,1,0,0
20181007,2,0,0,4,1,0,0,0
20181008,0,0,0,5,1,0,0,0
20181009,4,0,0,8,1,0,0,0
20181010,3,53.5,17.833333333333,10,1,0.25,0,0
20181011,2,0,0,7,1,0,0,0
20181012,4,0,0,3,1,0,0,0
20181013,9,160.5,17.833333333333,13,1,0.25,0,0
20181014,2,124.85,62.425,5,1,0.875,0,0
20181015,1,35.666666666667,35.666666666667,3,1,0.5,0,0
20181016,1,53.5,53.5,2,1,0.75,0,0
20181017,0,0,0,0,0,0,0,0
20181018,1,0,0,2,1,0,0,0
20181019,0,0,0,1,1,0,0,0
20181020,0,0,0,0,0,0,0,0
20181021,0,0,0,0,0,0,0,0
20181022,2,142.7,71.35,2,1,1,0,0
20181023,3,89.166666666667,29.722222222222,5,1,0.41666666666667,0,0
20181024,3,124.83333333333,41.611111111111,4,1,0.58333333333333,0,0
20181025,1,0,0,2,1,0,0,0
20181026,0,0,0,1,1,0,0,0
20181027,4,35.666666666667,8.9166666666667,4,1,0.125,0,0
20181028,0,17.833333333333,0,0,1,0,0,0
20181029,1,17.833333333333,17.833333333333,1,1,0.25,0,0
20181030,4,231.85,57.9625,5,1,0.8125,0,0
20181031,1,0,0,2,1,0,0,0
20181101,0,0,0,2,1,0,0,0
20181102,0,0,0,2,1,0,0,0
20181103,1,0,0,1,1,0,0,0
20181104,1,0,0,3,1,0,0,0
20181105,2,53.5,26.75,4,1,0.375,0,0
20181106,2,0,0,3,1,0,0,0
20181107,0,0,0,0,0,0,0,0
20181108,1,0,0,1,1,0,0,0
20181109,1,17.833333333333,17.833333333333,2,1,0.25,0,0
20181110,1,0,0,3,1,0,0,0
20181111,1,0,0,5,1,0,0,0
20181112,2,0,0,4,1,0,0,0
20181113,0,0,0,3,1,0,0,0
20181114,3,178.35,59.45,4,1,0.83333333333333,0,0
20181115,1,0,0,1,1,0,0,0
20181116,2,0,0,2,1,0,0,0
20181117,1,0,0,1,1,0,0,0
20181118,2,71.35,35.675,2,1,0.5,0,0
20181119,1,53.5,53.5,1,1,0.75,0,0
20181120,0,0,0,4,1,0,0,0
20181121,1,0,0,1,1,0,0,0
20181122,0,0,0,0,0,0,0,0
20181123,0,0,0,0,0,0,0,0
20181124,2,53.5,26.75,3,1,0.375,0,0
20181125,2,142.66666666667,71.333333333333,4,1,1,0,0
20181126,1,71.35,71.35,2,1,1,0,0
20181127,3,53.5,17.833333333333,4,1,0.25,0,0
20181128,1,35.666666666667,35.666666666667,2,1,0.5,0,0
20181129,2,89.183333333333,44.591666666667,4,1,0.625,0,0
20181130,0,0,0,0,0,0,0,0
20181201,1,0,0,1,1,0,0,0
20181202,1,0,0,3,1,0,0,0
20181203,0,0,0,0,0,0,0,0
20181204,0,0,0,0,0,0,0,0
20181205,1,17.833333333333,17.833333333333,1,1,0.25,0,0
20181206,0,0,0,0,0,0,0,0
20181207,1,0,0,2,1,0,0,0
20181208,0,0,0,3,1,0,0,0
20181209,1,0,0,1,1,0,0,0
20181210,1,0,0,2,1,0,0,0
20181211,0,0,0,1,1,0,0,0
20181212,1,53.5,53.5,1,1,0.75,0,0
20181213,2,71.35,35.675,3,1,0.5,0,0
20181214,1,71.35,71.35,2,1,1,0,0
20181215,0,0,0,0,0,0,0,0
20181216,5,17.833333333333,3.5666666666667,7,1,0.05,0,0
20181217,1,0,0,1,1,0,0,0
20181218,0,0,0,0,0,0,0,0
20181219,1,0,0,2,1,0,0,0
20181220,2,71.35,35.675,4,1,0.5,0,0
20181221,0,0,0,0,0,0,0,0
20181222,1,53.5,53.5,1,1,0.75,0,0
20181223,0,0,0,1,1,0,0,0
20181224,0,0,0,0,0,0,0,0
20181225,2,0,0,4,1,0,0,0
20181226,1,71.35,71.35,1,1,1,0,0
20181227,0,0,0,0,0,0,0,0
20181228,0,0,0,0,0,0,0,0
20181229,0,0,0,0,0,0,0,0
20181230,0,0,0,1,1,0,0,0
20181231,0,0,0,1,1,0,0,0
20190101,0,0,0,0,0,0,0,0
20190102,1,53.5,53.5,3,1,0.75,0,0
20190103,0,0,0,1,1,0,0,0
20190104,0,0,0,2,1,0,0,0
20190105,1,71.35,71.35,5,1,1,0,0
20190106,2,0,0,3,1,0,0,0
20190107,6,231.85,38.641666666667,7,1,0.54166666666667,0,0
20190108,0,0,0,4,1,0,0,0
20190109,1,53.5,53.5,2,1,0.75,0,0
20190110,3,107.01666666667,35.672222222222,4,1,0.5,0,0
20190111,0,0,0,0,0,0,0,0
20190112,0,0,0,4,1,0,0,0
20190113,0,0,0,2,1,0,0,0
20190114,1,53.5,53.5,4,1,0.75,0,0
20190115,0,0,0,0,0,0,0,0
20190116,0,0,0,1,1,0,0,0
20190117,0,0,0,1,1,0,0,0
20190118,1,0,0,5,1,0,0,0
20190119,2,17.833333333333,8.9166666666667,4,1,0.125,0,0
20190120,6,124.83333333333,20.805555555556,8,1,0.29166666666667,0,0
20190121,0,0,0,1,1,0,0,0
20190122,1,35.666666666667,35.666666666667,4,1,0.5,0,0
20190123,0,0,0,0,0,0,0,0
20190124,2,124.85,62.425,2,1,0.875,0,0
20190125,0,0,0,3,1,0,0,0
20190126,2,35.666666666667,17.833333333333,2,1,0.25,0,0
20190127,0,0,0,0,0,0,0,0
20190128,3,178.35,59.45,4,1,0.83333333333333,96,0
20190129,1,71.35,71.35,2,1,1,97,0
20190130,0,0,0,0,0,0,0,0
20190131,0,0,0,0,0,0,0,0
20190201,0,0,0,0,0,0,0,0
20190202,0,0,0,2,1,0,0,0
