"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-05-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_03wkp34h"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190501,0,0,0,0,0,0,0,0
20190502,0,0,0,1,1,0,0,0
20190503,0,0,0,0,0,0,0,0
20190504,0,0,0,0,0,0,0,0
20190505,0,0,0,0,0,0,0,0
20190506,0,0,0,0,0,0,0,0
20190507,0,0,0,0,0,0,0,0
20190508,0,0,0,0,0,0,0,0
20190509,0,0,0,0,0,0,0,0
20190510,0,0,0,0,0,0,0,0
20190511,0,0,0,0,0,0,0,0
20190512,0,0,0,0,0,0,0,0
20190513,0,0,0,0,0,0,0,0
20190514,0,0,0,0,0,0,0,0
20190515,0,0,0,0,0,0,0,0
20190516,0,0,0,0,0,0,0,0
20190517,0,0,0,0,0,0,0,0
20190518,0,0,0,0,0,0,0,0
20190519,0,0,0,0,0,0,0,0
20190520,0,0,0,6,2,0,0,0
20190521,18,312.66666666667,17.37037037037,41,1,0.31944444444444,27.333333333333,0
20190522,23,217.46666666667,9.4550724637681,39,1,0.17391304347826,17.434782608696,0
20190523,9,67.95,7.55,18,1,0.13888888888889,21.777777777778,0
20190524,8,122.33333333333,15.291666666667,23,1,0.28125,33.75,0
20190525,24,503,20.958333333333,42,1,0.38541666666667,40.166666666667,0
20190526,15,271.85,18.123333333333,31,1,0.33333333333333,31.133333333333,0
20190527,7,95.15,13.592857142857,12,1,0.25,27.428571428571,0
20190528,6,81.55,13.591666666667,12,1,0.25,34.833333333333,0
20190529,14,217.5,15.535714285714,21,1,0.28571428571429,29.714285714286,0
20190530,5,122.33333333333,24.466666666667,12,1,0.45,42.2,0
20190531,3,67.983333333333,22.661111111111,13,1,0.41666666666667,35.333333333333,0
20190601,9,27.166666666667,3.0185185185185,16,1,0.055555555555556,8.6666666666667,0
20190602,12,163.11666666667,13.593055555556,25,1,0.25,33.916666666667,0
20190603,5,149.53333333333,29.906666666667,13,1,0.55,42.4,0
20190604,7,122.35,17.478571428571,18,1,0.32142857142857,47.142857142857,0
