"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-07-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_a7oo41y5"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190701,1,56.933333333333,56.933333333333,2,2,0.75,7,0
20190702,0,0,0,0,0,0,0,0
20190703,1,18.966666666667,18.966666666667,1,1,0.25,25,0
20190704,14,417.48333333333,29.820238095238,30,2,0.39285714285714,36.857142857143,0
20190705,28,910.91666666667,32.532738095238,44,1,0.42857142857143,50.178571428571,0
20190706,15,721.15,48.076666666667,29,1,0.63333333333333,72.733333333333,0
20190707,12,436.48333333333,36.373611111111,33,1,0.47916666666667,43.083333333333,0
20190708,10,379.56666666667,37.956666666667,26,1,0.5,60.5,0
20190709,11,436.46666666667,39.678787878788,32,1,0.52272727272727,53.818181818182,0
20190710,10,170.8,17.08,23,1,0.225,31.6,0
20190711,7,360.58333333333,51.511904761905,13,1,0.67857142857143,79.428571428571,0
20190712,16,379.51666666667,23.719791666667,20,1,0.3125,33.0625,0
20190713,11,645.25,58.659090909091,14,1,0.77272727272727,86.545454545455,0
20190714,18,759.16666666667,42.175925925926,31,1,0.55555555555556,59.777777777778,0
20190715,5,113.86666666667,22.773333333333,9,1,0.3,46.2,0
20190716,7,170.8,24.4,17,1,0.32142857142857,39.142857142857,0
20190717,9,341.6,37.955555555556,21,1,0.5,43.222222222222,0
20190718,3,227.75,75.916666666667,11,1,1,103.66666666667,0
20190719,9,246.7,27.411111111111,11,1,0.36111111111111,33.888888888889,0
20190720,6,132.83333333333,22.138888888889,11,1,0.29166666666667,38.833333333333,0
20190721,8,379.55,47.44375,10,1,0.625,66,0
20190722,7,227.73333333333,32.533333333333,14,1,0.42857142857143,45,0
20190723,3,18.966666666667,6.3222222222222,9,1,0.083333333333333,14.333333333333,0
20190724,4,170.8,42.7,10,1,0.5625,63,0
20190725,2,151.81666666667,75.908333333333,9,1,1,112,0
20190726,7,132.85,18.978571428571,8,1,0.25,24.285714285714,0
20190727,9,341.58333333333,37.953703703704,12,1,0.5,36.444444444444,0
20190728,1,0,0,3,1,0,0,0
20190729,2,132.85,66.425,3,1,0.875,86,0
20190730,5,18.966666666667,3.7933333333333,7,1,0.05,13,0
20190731,2,56.933333333333,28.466666666667,1,1,0.375,41.5,0
20190801,3,113.86666666667,37.955555555556,10,1,0.5,34.666666666667,0
20190802,5,132.83333333333,26.566666666667,13,1,0.35,41.6,0
20190803,14,379.55,27.110714285714,22,1,0.35714285714286,42.714285714286,0
