"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-09-05 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_3b03si1p"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160905,0,0,0,0,0,0,0,0
20160906,2,135.76666666667,67.883333333333,2,2,0.75,0,0
20160907,0,0,0,1,1,0,0,0
20160908,1,0,0,1,1,0,0,0
20160909,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20160910,0,0,0,0,0,0,0,0
20160911,0,0,0,0,0,0,0,0
20160912,1,0,0,8,2,0,0,0
20160913,0,0,0,1,1,0,0,0
20160914,0,0,0,0,0,0,0,0
20160915,4,158.4,39.6,8,1,0.4375,0,0
20160916,21,927.73333333333,44.177777777778,30,1,0.48809523809524,0,0
20160917,57,1697.05,29.772807017544,97,1,0.32894736842105,0,0
20160918,51,1832.8833333333,35.938888888889,89,1,0.39705882352941,0,0
20160919,28,837.21666666667,29.900595238095,39,1,0.33035714285714,0,0
20160920,23,791.96666666667,34.433333333333,31,1,0.3804347826087,0,0
20160921,15,633.55,42.236666666667,30,1,0.46666666666667,0,0
20160922,8,384.66666666667,48.083333333333,14,1,0.53125,0,0
20160923,11,271.51666666667,24.683333333333,16,1,0.27272727272727,0,0
20160924,16,565.7,35.35625,23,1,0.390625,0,0
20160925,14,543.11666666667,38.794047619048,16,1,0.42857142857143,0,0
20160926,3,158.4,52.8,12,1,0.58333333333333,0,0
20160927,14,135.78333333333,9.6988095238095,24,1,0.10714285714286,0,0
20160928,7,316.76666666667,45.252380952381,9,1,0.5,0,0
20160929,10,429.9,42.99,18,1,0.475,0,0
20160930,12,429.91666666667,35.826388888889,15,1,0.39583333333333,0,0
20161001,9,384.66666666667,42.740740740741,13,1,0.47222222222222,0,0
20161002,9,362.03333333333,40.225925925926,12,1,0.44444444444444,0,0
20161003,0,0,0,0,0,0,0,0
20161004,1,0,0,2,1,0,0,0
20161005,10,429.9,42.99,18,1,0.475,0,0
20161006,20,203.63333333333,10.181666666667,35,1,0.1125,0,0
20161007,25,565.63333333333,22.625333333333,40,1,0.25,0,0
20161008,21,724.05,34.478571428571,35,1,0.38095238095238,0,0
20161009,18,610.95,33.941666666667,31,1,0.375,0,0
20161010,20,339.4,16.97,30,1,0.1875,0,0
20161011,16,384.61666666667,24.038541666667,25,1,0.265625,0,0
20161012,19,543.03333333333,28.580701754386,24,1,0.31578947368421,0,0
20161013,6,339.38333333333,56.563888888889,12,1,0.625,0,0
20161014,8,113.13333333333,14.141666666667,10,1,0.15625,0,0
20161015,10,429.91666666667,42.991666666667,12,1,0.475,0,0
20161016,41,746.7,18.212195121951,59,1,0.20121951219512,0,0
20161017,35,475.16666666667,13.57619047619,51,1,0.15,0,0
20161018,9,181,20.111111111111,14,1,0.22222222222222,0,0
20161019,11,0,0,14,1,0,0,0
20161020,8,90.516666666667,11.314583333333,10,1,0.125,0,0
20161021,2,67.883333333333,33.941666666667,4,1,0.375,0,0
20161022,7,407.3,58.185714285714,7,1,0.64285714285714,0,0
20161023,13,407.28333333333,31.329487179487,19,1,0.34615384615385,0,0
20161024,6,384.68333333333,64.113888888889,10,1,0.70833333333333,0,0
20161025,2,67.883333333333,33.941666666667,4,1,0.375,0,0
20161026,4,90.5,22.625,10,1,0.25,0,0
20161027,4,90.483333333333,22.620833333333,7,1,0.25,0,0
20161028,5,226.26666666667,45.253333333333,6,1,0.5,0,0
20161029,3,294.16666666667,98.055555555556,4,1,1.0833333333333,0,0
20161030,12,475.13333333333,39.594444444444,15,1,0.4375,0,0
20161031,1,0,0,4,1,0,0,0
20161101,4,158.38333333333,39.595833333333,6,1,0.4375,0,0
20161102,6,181,30.166666666667,10,1,0.33333333333333,0,0
20161103,4,22.616666666667,5.6541666666667,6,1,0.0625,0,0
20161104,1,0,0,4,1,0,0,0
20161105,4,113.13333333333,28.283333333333,5,1,0.3125,0,0
20161106,3,181.01666666667,60.338888888889,5,1,0.66666666666667,0,0
20161107,6,294.15,49.025,9,1,0.54166666666667,0,0
20161108,3,181.01666666667,60.338888888889,4,1,0.66666666666667,0,0
20161109,6,135.76666666667,22.627777777778,7,1,0.25,0,0
20161110,5,158.38333333333,31.676666666667,5,1,0.35,0,0
20161111,3,67.883333333333,22.627777777778,5,1,0.25,0,0
20161112,9,475.16666666667,52.796296296296,15,1,0.58333333333333,0,0
20161113,14,814.6,58.185714285714,20,1,0.64285714285714,0,0
20161114,9,384.65,42.738888888889,14,1,0.47222222222222,0,0
20161115,4,226.28333333333,56.570833333333,6,1,0.625,0,0
20161116,5,0,0,9,1,0,0,0
20161117,5,113.13333333333,22.626666666667,11,1,0.25,0,0
20161118,5,158.38333333333,31.676666666667,9,1,0.35,0,0
20161119,17,497.78333333333,29.28137254902,26,1,0.32352941176471,0,0
20161120,10,339.41666666667,33.941666666667,17,1,0.375,0,0
20161121,2,181.01666666667,90.508333333333,5,1,1,0,0
20161122,7,45.233333333333,6.4619047619048,12,1,0.071428571428571,0,0
20161123,7,316.75,45.25,9,1,0.5,0,0
20161124,2,135.76666666667,67.883333333333,5,1,0.75,0,0
20161125,0,0,0,2,1,0,0,0
20161126,2,158.4,79.2,3,1,0.875,0,0
20161127,0,0,0,1,1,0,0,0
20161128,2,135.76666666667,67.883333333333,4,1,0.75,0,0
20161129,2,67.883333333333,33.941666666667,2,1,0.375,0,0
20161130,3,135.76666666667,45.255555555556,4,1,0.5,0,0
20161201,2,67.883333333333,33.941666666667,3,1,0.375,0,0
20161202,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20161203,2,67.883333333333,33.941666666667,2,1,0.375,0,0
20161204,1,67.883333333333,67.883333333333,4,1,0.75,0,0
20161205,1,45.25,45.25,1,1,0.5,0,0
20161206,0,67.883333333333,0,1,1,0,0,0
20161207,0,0,0,0,0,0,0,0
20161208,6,248.91666666667,41.486111111111,8,1,0.45833333333333,0,0
20161209,3,294.15,98.05,3,1,1.0833333333333,0,0
20161210,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20161211,0,0,0,0,0,0,0,0
20161212,3,67.883333333333,22.627777777778,5,1,0.25,0,0
20161213,3,135.75,45.25,5,1,0.5,0,0
20161214,0,0,0,0,0,0,0,0
20161215,2,0,0,5,1,0,0,0
20161216,0,0,0,1,1,0,0,0
20161217,1,67.883333333333,67.883333333333,3,1,0.75,0,0
20161218,2,158.4,79.2,3,1,0.875,0,0
20161219,4,181,45.25,8,1,0.5,0,0
20161220,2,90.516666666667,45.258333333333,5,1,0.5,0,0
20161221,3,67.883333333333,22.627777777778,4,1,0.25,0,0
20161222,6,339.4,56.566666666667,7,1,0.625,0,0
20161223,0,22.633333333333,0,4,1,0,0,0
20161224,1,90.5,90.5,2,1,1,0,0
20161225,5,226.26666666667,45.253333333333,5,1,0.5,0,0
20161226,2,45.233333333333,22.616666666667,5,1,0.25,0,0
20161227,1,67.883333333333,67.883333333333,5,1,0.75,0,0
20161228,3,67.883333333333,22.627777777778,4,1,0.25,0,0
20161229,2,67.866666666667,33.933333333333,2,1,0.375,0,0
20161230,2,67.883333333333,33.941666666667,4,1,0.375,0,0
20161231,0,0,0,0,0,0,0,0
20170101,5,226.26666666667,45.253333333333,9,1,0.5,0,0
20170102,1,22.616666666667,22.616666666667,4,1,0.25,0,0
20170103,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20170104,1,0,0,1,1,0,0,0
20170105,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20170106,2,113.13333333333,56.566666666667,4,1,0.625,0,0
20170107,0,0,0,2,1,0,0,0
20170108,2,158.4,79.2,4,1,0.875,0,0
20170109,3,0,0,7,1,0,0,0
20170110,0,0,0,1,1,0,0,0
20170111,7,226.28333333333,32.32619047619,10,1,0.35714285714286,0,0
20170112,5,45.25,9.05,6,1,0.1,0,0
20170113,3,158.4,52.8,5,1,0.58333333333333,0,0
20170114,6,67.883333333333,11.313888888889,8,1,0.125,0,0
20170115,3,135.76666666667,45.255555555556,4,1,0.5,0,0
20170116,1,22.633333333333,22.633333333333,1,1,0.25,0,0
20170117,1,0,0,1,1,0,0,0
20170118,1,0,0,1,1,0,0,0
20170119,2,90.5,45.25,3,1,0.5,0,0
20170120,1,90.516666666667,90.516666666667,1,1,1,0,0
20170121,0,0,0,1,1,0,0,0
20170122,6,181.01666666667,30.169444444444,7,1,0.33333333333333,0,0
20170123,0,0,0,0,0,0,0,0
20170124,0,0,0,0,0,0,0,0
20170125,4,203.63333333333,50.908333333333,7,1,0.5625,0,0
20170126,1,90.516666666667,90.516666666667,2,1,1,0,0
20170127,1,22.616666666667,22.616666666667,3,1,0.25,0,0
20170128,0,0,0,1,1,0,0,0
20170129,0,0,0,0,0,0,0,0
20170130,2,67.883333333333,33.941666666667,2,1,0.375,0,0
20170131,3,90.516666666667,30.172222222222,6,1,0.33333333333333,0,0
20170201,0,0,0,1,1,0,0,0
20170202,3,248.91666666667,82.972222222222,6,1,0.91666666666667,0,0
20170203,0,0,0,0,0,0,0,0
20170204,5,203.63333333333,40.726666666667,5,1,0.45,0,0
20170205,2,0,0,3,1,0,0,0
20170206,0,0,0,0,0,0,0,0
20170207,2,90.516666666667,45.258333333333,5,1,0.5,0,0
20170208,1,0,0,3,1,0,0,0
20170209,2,67.883333333333,33.941666666667,3,1,0.375,0,0
20170210,0,0,0,1,1,0,0,0
20170211,1,90.516666666667,90.516666666667,6,1,1,0,0
20170212,0,0,0,0,0,0,0,0
20170213,0,0,0,0,0,0,0,0
20170214,1,0,0,1,1,0,0,0
20170215,0,0,0,2,1,0,0,0
20170216,2,0,0,2,1,0,0,0
20170217,0,0,0,0,0,0,0,0
20170218,1,0,0,3,1,0,0,0
20170219,0,0,0,0,0,0,0,0
20170220,5,203.65,40.73,8,1,0.45,0,0
20170221,0,0,0,0,0,0,0,0
20170222,0,0,0,0,0,0,0,0
20170223,1,0,0,3,1,0,0,0
20170224,1,45.25,45.25,2,1,0.5,0,0
20170225,7,429.91666666667,61.416666666667,11,1,0.67857142857143,0,0
20170226,0,0,0,1,1,0,0,0
20170227,2,135.76666666667,67.883333333333,4,1,0.75,0,0
20170228,0,0,0,1,1,0,0,0
20170301,1,0,0,1,1,0,0,0
20170302,2,0,0,3,1,0,0,0
20170303,1,67.883333333333,67.883333333333,1,1,0.75,0,0
20170304,1,67.883333333333,67.883333333333,2,1,0.75,0,0
