"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-09-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_xr20ddje"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180926,5,88.9,17.78,13,3,0.35,0,0
20180927,16,0,0,45,1,0,0,0
20180928,18,101.6,5.6444444444444,57,1,0.11111111111111,0,0
20180929,33,139.7,4.2333333333333,79,1,0.083333333333333,0,0
20180930,27,304.8,11.288888888889,58,1,0.22222222222222,0,0
20181001,19,190.5,10.026315789474,46,1,0.19736842105263,0,0
20181002,9,12.7,1.4111111111111,29,1,0.027777777777778,0,0
20181003,14,25.4,1.8142857142857,35,1,0.035714285714286,0,0
20181004,8,12.7,1.5875,29,1,0.03125,0,0
20181005,8,50.8,6.35,29,1,0.125,0,0
20181006,8,88.9,11.1125,35,1,0.21875,0,0
20181007,9,76.2,8.4666666666667,25,1,0.16666666666667,0,0
20181008,11,12.7,1.1545454545455,27,1,0.022727272727273,0,0
20181009,11,63.5,5.7727272727273,23,1,0.11363636363636,0,0
20181010,6,38.1,6.35,24,2,0.125,0,0
20181011,4,38.1,9.525,16,1,0.1875,0,0
20181012,3,38.1,12.7,16,1,0.25,0,0
20181013,6,76.2,12.7,20,1,0.25,0,0
20181014,11,88.9,8.0818181818182,30,1,0.15909090909091,0,0
20181015,7,88.9,12.7,16,1,0.25,0,0
20181016,10,88.9,8.89,22,1,0.175,0,0
20181017,4,50.8,12.7,12,1,0.25,0,0
20181018,3,0,0,11,1,0,0,0
20181019,5,0,0,9,1,0,0,0
20181020,9,76.2,8.4666666666667,20,1,0.16666666666667,0,0
20181021,3,38.1,12.7,17,1,0.25,0,0
20181022,0,0,0,4,1,0,0,0
20181023,1,0,0,8,1,0,0,0
20181024,1,0,0,5,1,0,0,0
20181025,2,38.1,19.05,3,1,0.375,0,0
20181026,0,0,0,4,1,0,0,0
20181027,3,38.1,12.7,4,1,0.25,0,0
20181028,2,38.1,19.05,2,1,0.375,0,0
20181029,0,0,0,1,1,0,0,0
20181030,0,0,0,0,0,0,0,0
20181031,0,0,0,0,0,0,0,0
20181101,1,0,0,3,1,0,0,0
20181102,1,25.4,25.4,2,1,0.5,0,0
20181103,0,0,0,0,0,0,0,0
20181104,1,0,0,2,1,0,0,0
20181105,1,0,0,1,1,0,0,0
20181106,1,0,0,1,1,0,0,0
20181107,0,0,0,0,0,0,0,0
20181108,0,0,0,0,0,0,0,0
20181109,0,0,0,0,0,0,0,0
20181110,1,0,0,1,1,0,0,0
20181111,4,12.7,3.175,5,1,0.0625,0,0
20181112,0,0,0,0,0,0,0,0
20181113,1,38.1,38.1,3,1,0.75,0,0
20181114,1,50.8,50.8,1,1,1,0,0
20181115,1,38.1,38.1,3,1,0.75,0,0
20181116,2,63.5,31.75,2,1,0.625,0,0
20181117,1,50.8,50.8,1,1,1,0,0
20181118,1,0,0,4,1,0,0,0
20181119,1,38.1,38.1,2,1,0.75,0,0
20181120,0,0,0,0,0,0,0,0
20181121,0,0,0,1,1,0,0,0
20181122,1,0,0,2,1,0,0,0
20181123,0,0,0,1,1,0,0,0
20181124,0,0,0,0,0,0,0,0
20181125,1,0,0,2,1,0,0,0
20181126,0,0,0,0,0,0,0,0
20181127,0,0,0,2,1,0,0,0
20181128,0,0,0,2,1,0,0,0
20181129,0,0,0,1,1,0,0,0
20181130,2,50.8,25.4,4,1,0.5,0,0
20181201,2,25.4,12.7,2,1,0.25,0,0
20181202,0,0,0,2,1,0,0,0
20181203,0,0,0,2,1,0,0,0
20181204,3,50.8,16.933333333333,4,1,0.33333333333333,0,0
20181205,0,0,0,0,0,0,0,0
20181206,0,0,0,0,0,0,0,0
20181207,2,50.8,25.4,4,1,0.5,0,0
20181208,2,88.9,44.45,2,1,0.875,0,0
