"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-07-29 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_p9187pss"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190729,1,21,21,2,2,0.75,0,0
20190730,0,0,0,0,0,0,0,0
20190731,0,0,0,0,0,0,0,0
20190801,0,0,0,0,0,0,0,0
20190802,0,0,0,0,0,0,0,0
20190803,0,0,0,0,0,0,0,0
20190804,0,0,0,0,0,0,0,0
20190805,0,0,0,0,0,0,0,0
20190806,0,0,0,0,0,0,0,0
20190807,0,0,0,0,0,0,0,0
20190808,2,14,7,10,2,0.25,1.5,0
20190809,80,1127,14.0875,147,1,0.503125,53.8625,0
20190810,103,1519,14.747572815534,176,1,0.52669902912621,55.058252427184,0
20190811,74,966,13.054054054054,127,1,0.46621621621622,52.986486486486,0
20190812,70,756,10.8,134,1,0.38571428571429,39.185714285714,0
20190813,60,756,12.6,94,1,0.45,43.316666666667,0
20190814,36,434,12.055555555556,77,1,0.43055555555556,44.666666666667,0
20190815,18,357,19.833333333333,33,1,0.70833333333333,79.166666666667,0
20190816,31,532,17.161290322581,50,1,0.61290322580645,65.161290322581,0
20190817,27,539,19.962962962963,53,1,0.71296296296296,67.888888888889,0
20190818,26,385,14.807692307692,52,1,0.52884615384615,56.115384615385,0
20190819,40,539,13.475,82,1,0.48125,47.5,0
20190820,19,322,16.947368421053,38,1,0.60526315789474,63.578947368421,0
20190821,12,259,21.583333333333,23,1,0.77083333333333,83.5,0
20190822,6,98,16.333333333333,22,1,0.58333333333333,65.833333333333,0
20190823,12,161,13.416666666667,20,1,0.47916666666667,53.916666666667,0
20190824,16,210,13.125,29,1,0.46875,51.125,0
20190825,27,378,14,48,1,0.5,53.407407407407,0
20190826,17,280,16.470588235294,28,1,0.58823529411765,66.529411764706,0
20190827,14,119,8.5,26,2,0.30357142857143,28.5,0
20190828,8,70,8.75,18,1,0.3125,36,0
20190829,17,175,10.294117647059,31,1,0.36764705882353,34.235294117647,0
20190830,6,84,14,13,1,0.5,53,0
20190831,11,231,21,24,1,0.75,79.545454545455,0
20190901,25,357,14.28,41,1,0.51,50.32,0
20190902,12,210,17.5,25,1,0.625,68.333333333333,0
20190903,15,308,20.533333333333,26,1,0.73333333333333,71.2,0
20190904,15,280,18.666666666667,29,1,0.66666666666667,69.266666666667,0
20190905,10,126,12.6,28,1,0.45,61,0
20190906,4,91,22.75,8,1,0.8125,80.75,0
20190907,11,231,21,24,1,0.75,77.272727272727,0
20190908,24,427,17.791666666667,43,1,0.63541666666667,68.666666666667,0
20190909,9,105,11.666666666667,17,1,0.41666666666667,39.111111111111,0
20190910,34,448,13.176470588235,62,1,0.47058823529412,45.352941176471,0
20190911,38,497,13.078947368421,68,1,0.46710526315789,48.157894736842,0
20190912,23,315,13.695652173913,50,1,0.48913043478261,65.347826086957,0
20190913,35,350,10,77,1,0.35714285714286,43.857142857143,0
20190914,44,707,16.068181818182,76,1,0.57386363636364,58.25,0
20190915,51,595,11.666666666667,105,1,0.41666666666667,42.372549019608,0
20190916,29,378,13.034482758621,53,1,0.46551724137931,40.655172413793,0
20190917,54,567,10.5,94,1,0.375,36.981481481481,0
20190918,26,266,10.230769230769,54,1,0.36538461538462,41.115384615385,0
20190919,12,182,15.166666666667,26,1,0.54166666666667,45.083333333333,0
20190920,11,182,16.545454545455,23,1,0.59090909090909,62,0
20190921,8,189,23.625,13,1,0.84375,87.25,0
20190922,8,98,12.25,13,1,0.4375,48.5,0
20190923,14,49,3.5,23,1,0.125,9.7142857142857,0
20190924,5,112,22.4,10,1,0.8,92.4,0
20190925,9,112,12.444444444444,17,1,0.44444444444444,44.666666666667,0
20190926,11,126,11.454545454545,12,1,0.40909090909091,45.272727272727,0
20190927,8,182,22.75,12,1,0.8125,83,0
20190928,11,161,14.636363636364,15,1,0.52272727272727,52.090909090909,0
20190929,3,42,14,5,1,0.5,51.333333333333,0
20190930,1,14,14,6,1,0.5,62,0
20191001,2,28,14,9,1,0.5,50,0
20191002,2,49,24.5,8,1,0.875,97.5,0
20191003,7,126,18,13,1,0.64285714285714,71,0
20191004,1,0,0,3,1,0,0,0
20191005,5,77,15.4,8,1,0.55,61.8,0
20191006,2,14,7,7,1,0.25,39.5,0
20191007,5,42,8.4,9,1,0.3,32.8,0
20191008,4,77,19.25,9,1,0.6875,72.25,0
20191009,5,56,11.2,8,1,0.4,40.2,0
20191010,6,49,8.1666666666667,6,1,0.29166666666667,34.166666666667,0
20191011,7,98,14,12,1,0.5,58.285714285714,0
20191012,4,84,21,8,1,0.75,59.25,0
20191013,1,7,7,3,1,0.25,12,0
20191014,7,147,21,11,1,0.75,76.142857142857,0
20191015,7,84,12,19,1,0.42857142857143,41.285714285714,0
20191016,4,35,8.75,7,1,0.3125,25.5,0
20191017,2,7,3.5,2,1,0.125,11,0
20191018,6,91,15.166666666667,11,1,0.54166666666667,45.5,0
20191019,4,63,15.75,13,1,0.5625,53,0
20191020,7,63,9,14,1,0.32142857142857,24.714285714286,0
20191021,4,56,14,5,1,0.5,59.75,0
20191022,3,49,16.333333333333,5,1,0.58333333333333,66.333333333333,0
20191023,4,63,15.75,6,1,0.5625,65.5,0
20191024,1,14,14,2,1,0.5,59,0
20191025,2,21,10.5,2,1,0.375,44,0
20191026,5,35,7,9,1,0.25,32.4,0
20191027,4,49,12.25,9,1,0.4375,53.75,0
20191028,7,126,18,9,1,0.64285714285714,64.142857142857,0
20191029,3,42,14,6,1,0.5,62,0
20191030,5,77,15.4,6,1,0.55,54.8,0
20191031,8,147,18.375,12,1,0.65625,64.5,0
20191101,5,98,19.6,7,1,0.7,76.2,0
20191102,3,70,23.333333333333,8,1,0.83333333333333,96.666666666667,0
20191103,3,35,11.666666666667,4,1,0.41666666666667,51.666666666667,0
20191104,5,112,22.4,12,1,0.8,83.8,0
20191105,5,21,4.2,9,1,0.15,16.6,0
20191106,7,91,13,11,1,0.46428571428571,39,0
20191107,1,28,28,2,1,1,104,0
20191108,3,84,28,6,1,1,98.333333333333,0
20191109,3,42,14,4,1,0.5,62.333333333333,0
20191110,4,70,17.5,7,1,0.625,71.25,0
20191111,5,70,14,6,1,0.5,46.8,0
20191112,6,49,8.1666666666667,12,1,0.29166666666667,39.666666666667,0
20191113,2,21,10.5,4,1,0.375,45.5,0
20191114,7,56,8,11,1,0.28571428571429,31.428571428571,0
20191115,4,84,21,7,1,0.75,79,0
20191116,6,112,18.666666666667,7,1,0.66666666666667,68.333333333333,0
20191117,6,126,21,8,1,0.75,72.666666666667,0
20191118,7,133,19,9,1,0.67857142857143,66.857142857143,0
20191119,4,42,10.5,7,1,0.375,47.5,0
20191120,4,42,10.5,6,1,0.375,49.25,0
20191121,2,49,24.5,2,1,0.875,53,0
20191122,2,56,28,7,1,1,98,0
20191123,0,0,0,1,1,0,0,0
20191124,3,56,18.666666666667,5,1,0.66666666666667,53,0
20191125,5,98,19.6,10,1,0.7,53.4,0
20191126,2,28,14,3,1,0.5,49,0
20191127,2,35,17.5,2,1,0.625,64,0
20191128,1,21,21,1,1,0.75,90,0
20191129,1,21,21,2,1,0.75,92,0
20191130,4,70,17.5,6,1,0.625,76.25,0
20191201,1,21,21,2,1,0.75,95,0
20191202,3,35,11.666666666667,8,1,0.41666666666667,43.333333333333,0
20191203,9,119,13.222222222222,9,1,0.47222222222222,42.777777777778,0
20191204,6,126,21,8,1,0.75,54.166666666667,0
20191205,4,70,17.5,5,1,0.625,73.75,0
20191206,0,0,0,3,1,0,0,0
