"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-07-29 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_uqjdyryx"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190729,1,14.066666666667,14.066666666667,2,2,0.75,0,0
20190730,0,0,0,0,0,0,0,0
20190731,0,0,0,0,0,0,0,0
20190801,0,0,0,0,0,0,0,0
20190802,0,0,0,0,0,0,0,0
20190803,0,0,0,0,0,0,0,0
20190804,0,0,0,0,0,0,0,0
20190805,0,0,0,0,0,0,0,0
20190806,0,0,0,0,0,0,0,0
20190807,0,0,0,0,0,0,0,0
20190808,0,0,0,0,0,0,0,0
20190809,0,0,0,0,0,0,0,0
20190810,0,0,0,0,0,0,0,0
20190811,0,0,0,5,2,0,0,0
20190812,34,248.58333333333,7.3112745098039,80,1,0.38970588235294,43.970588235294,0
20190813,24,225.13333333333,9.3805555555556,49,1,0.5,49.75,0
20190814,17,168.85,9.9323529411765,34,1,0.52941176470588,58.352941176471,0
20190815,15,154.76666666667,10.317777777778,30,1,0.55,58.466666666667,0
20190816,9,98.483333333333,10.942592592593,23,1,0.58333333333333,69.222222222222,0
20190817,18,131.3,7.2944444444444,36,1,0.38888888888889,42.277777777778,0
20190818,11,93.8,8.5272727272727,29,1,0.45454545454545,41.818181818182,0
20190819,21,253.25,12.059523809524,45,1,0.64285714285714,70.52380952381,0
20190820,9,65.633333333333,7.2925925925926,32,1,0.38888888888889,39.444444444444,0
20190821,9,75.033333333333,8.337037037037,14,1,0.44444444444444,46.555555555556,0
20190822,7,51.6,7.3714285714286,15,1,0.39285714285714,38.142857142857,0
20190823,8,84.416666666667,10.552083333333,21,1,0.5625,65.125,0
20190824,11,84.4,7.6727272727273,17,1,0.40909090909091,51.909090909091,0
20190825,22,206.31666666667,9.3780303030303,35,1,0.5,54.954545454545,0
20190826,10,107.86666666667,10.786666666667,18,1,0.575,74,0
20190827,11,112.55,10.231818181818,18,1,0.54545454545455,59,0
20190828,8,112.55,14.06875,18,1,0.75,65.125,0
20190829,2,0,0,7,1,0,7,0
20190830,5,9.3666666666667,1.8733333333333,19,2,0.1,10.2,0
20190831,12,98.483333333333,8.2069444444444,15,1,0.4375,51.833333333333,0
20190901,15,150.08333333333,10.005555555556,28,1,0.53333333333333,54.6,0
20190902,6,28.15,4.6916666666667,17,1,0.25,34.833333333333,0
20190903,8,70.333333333333,8.7916666666667,11,1,0.46875,56.5,0
20190904,6,46.883333333333,7.8138888888889,15,1,0.41666666666667,50.833333333333,0
20190905,4,42.2,10.55,10,1,0.5625,72,0
20190906,8,93.783333333333,11.722916666667,11,1,0.625,74.625,0
20190907,8,107.85,13.48125,17,1,0.71875,75,0
20190908,11,126.61666666667,11.510606060606,28,1,0.61363636363636,61.090909090909,0
20190909,7,42.2,6.0285714285714,15,1,0.32142857142857,40.857142857143,0
20190910,31,304.8,9.8322580645161,55,1,0.5241935483871,56.387096774194,0
