"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-05-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_hme7h0vp"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190501,0,0,0,0,0,0,0,0
20190502,0,0,0,1,1,0,0,0
20190503,0,0,0,0,0,0,0,0
20190504,0,0,0,0,0,0,0,0
20190505,0,0,0,0,0,0,0,0
20190506,0,0,0,0,0,0,0,0
20190507,0,0,0,0,0,0,0,0
20190508,0,0,0,0,0,0,0,0
20190509,0,0,0,0,0,0,0,0
20190510,0,0,0,0,0,0,0,0
20190511,0,0,0,0,0,0,0,0
20190512,0,0,0,0,0,0,0,0
20190513,0,0,0,0,0,0,0,0
20190514,0,0,0,0,0,0,0,0
20190515,0,0,0,0,0,0,0,0
20190516,0,0,0,0,0,0,0,0
20190517,0,0,0,0,0,0,0,0
20190518,0,0,0,0,0,0,0,0
20190519,0,0,0,0,0,0,0,0
20190520,0,0,0,0,0,0,0,0
20190521,0,0,0,0,0,0,0,0
20190522,0,0,0,0,0,0,0,0
20190523,0,0,0,0,0,0,0,0
20190524,0,0,0,0,0,0,0,0
20190525,0,0,0,0,0,0,0,0
20190526,0,0,0,0,0,0,0,0
20190527,1,26.783333333333,26.783333333333,1,1,1,5,0
20190528,1,20.083333333333,20.083333333333,5,2,0.75,4,0
20190529,0,6.6833333333333,0,6,1,0,0,0
20190530,21,160.63333333333,7.6492063492063,42,2,0.28571428571429,32.904761904762,0
20190531,10,33.466666666667,3.3466666666667,29,1,0.125,18.8,0
20190601,19,133.8,7.0421052631579,32,1,0.26315789473684,35.315789473684,0
20190602,20,140.53333333333,7.0266666666667,41,1,0.2625,34,0
20190603,21,174,8.2857142857143,40,1,0.30952380952381,27.190476190476,0
20190604,16,187.4,11.7125,32,1,0.4375,50.5625,0
20190605,14,33.45,2.3892857142857,26,1,0.089285714285714,11.857142857143,0
20190606,17,140.56666666667,8.2686274509804,25,1,0.30882352941176,36.705882352941,0
20190607,9,53.533333333333,5.9481481481481,24,1,0.22222222222222,20,0
20190608,17,107.1,6.3,31,1,0.23529411764706,23.823529411765,0
