"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-02-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_7ibyjttd"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190226,0,0,0,1,1,0,0,0
20190227,0,0,0,0,0,0,0,0
20190228,0,0,0,0,0,0,0,0
20190301,0,0,0,0,0,0,0,0
20190302,0,0,0,0,0,0,0,0
20190303,0,0,0,0,0,0,0,0
20190304,0,0,0,0,0,0,0,0
20190305,0,0,0,0,0,0,0,0
20190306,0,0,0,3,1,0,0,0
20190307,37,469.35,12.685135135135,95,2,0.14189189189189,16.72972972973,0
20190308,17,447,26.294117647059,39,1,0.29411764705882,37.588235294118,0
20190309,48,1005.75,20.953125,102,1,0.234375,22.791666666667,0
20190310,35,1452.75,41.507142857143,66,1,0.46428571428571,49.714285714286,0
20190311,24,536.4,22.35,42,1,0.25,30.083333333333,0
20190312,20,692.85,34.6425,38,1,0.3875,36.85,0
20190313,13,379.95,29.226923076923,30,1,0.32692307692308,37.538461538462,0
20190314,4,156.45,39.1125,17,1,0.4375,32,0
20190315,11,201.15,18.286363636364,28,1,0.20454545454545,28.181818181818,0
20190316,20,491.7,24.585,41,1,0.275,34.95,0
20190317,25,938.7,37.548,52,1,0.42,36.68,0
20190318,8,268.2,33.525,28,1,0.375,38.75,0
20190319,18,312.9,17.383333333333,31,1,0.19444444444444,22.5,0
20190320,9,379.95,42.216666666667,24,1,0.47222222222222,54.666666666667,0
20190321,11,156.45,14.222727272727,24,1,0.15909090909091,19.272727272727,0
20190322,11,424.65,38.604545454545,24,1,0.43181818181818,42.090909090909,0
20190323,19,402.3,21.173684210526,41,1,0.23684210526316,18.368421052632,0
20190324,15,514.05,34.27,32,1,0.38333333333333,33.933333333333,0
20190325,14,312.9,22.35,34,1,0.25,26.642857142857,0
20190326,4,89.4,22.35,13,1,0.25,24.5,0
20190327,14,335.25,23.946428571429,32,1,0.26785714285714,21.357142857143,0
20190328,4,201.15,50.2875,18,1,0.5625,56.5,0
20190329,2,156.45,78.225,11,1,0.875,74.5,0
20190330,7,245.85,35.121428571429,14,1,0.39285714285714,32.857142857143,0
20190331,3,134.1,44.7,11,1,0.5,42,0
20190401,5,156.45,31.29,9,1,0.35,38.8,0
20190402,2,67.05,33.525,7,1,0.375,49,0
20190403,13,491.7,37.823076923077,17,1,0.42307692307692,54.384615384615,0
20190404,1,67.05,67.05,8,1,0.75,96,0
20190405,3,0,0,5,1,0,7,0
20190406,3,111.75,37.25,10,1,0.41666666666667,54.333333333333,0
20190407,12,357.6,29.8,19,1,0.33333333333333,37.166666666667,0
20190408,8,111.75,13.96875,17,1,0.15625,17,0
20190409,10,447,44.7,16,1,0.5,34.8,0
20190410,11,536.4,48.763636363636,14,1,0.54545454545455,34.363636363636,0
20190411,1,44.7,44.7,1,1,0.5,55,0
20190412,2,156.45,78.225,4,1,0.875,112,0
20190413,2,67.05,33.525,5,1,0.375,55.5,0
20190414,4,178.8,44.7,8,1,0.5,60.75,0
20190415,4,312.9,78.225,9,1,0.875,72.5,0
20190416,5,312.9,62.58,5,1,0.7,65.8,0
20190417,5,67.05,13.41,11,1,0.15,20.6,0
20190418,6,268.2,44.7,12,1,0.5,47.166666666667,0
20190419,1,89.4,89.4,7,1,1,95,0
20190420,6,335.25,55.875,15,1,0.625,32.833333333333,0
20190421,2,67.05,33.525,9,1,0.375,43.5,0
20190422,2,134.1,67.05,4,1,0.75,95.5,0
20190423,2,89.4,44.7,5,1,0.5,64.5,0
20190424,0,0,0,3,1,0,0,0
