"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-12-11 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_yugpwszm"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20181211,2,12.333333333333,6.1666666666667,3,3,0.5,0,0
20181212,1,9.25,9.25,4,1,0.75,0,0
20181213,27,191.16666666667,7.0802469135802,51,1,0.57407407407407,0,0
20181214,22,141.83333333333,6.4469696969697,42,1,0.52272727272727,0,0
20181215,20,144.91666666667,7.2458333333333,43,1,0.5875,0,0
20181216,22,175.75,7.9886363636364,39,1,0.64772727272727,0,0
20181217,11,80.166666666667,7.2878787878788,30,1,0.59090909090909,0,0
20181218,20,120.25,6.0125,30,1,0.4875,0,0
20181219,19,74,3.8947368421053,29,1,0.31578947368421,0,0
20181220,13,86.333333333333,6.6410256410256,26,1,0.53846153846154,0,0
20181221,16,107.91666666667,6.7447916666667,39,1,0.546875,0,0
20181222,11,64.75,5.8863636363636,28,1,0.47727272727273,0,0
20181223,19,98.666666666667,5.1929824561404,36,1,0.42105263157895,0,0
20181224,10,43.166666666667,4.3166666666667,15,1,0.35,0,0
20181225,21,129.5,6.1666666666667,37,1,0.5,0,0
20181226,24,172.66666666667,7.1944444444444,42,1,0.58333333333333,0,0
20181227,11,74,6.7272727272727,24,1,0.54545454545455,0,0
20181228,4,40.083333333333,10.020833333333,15,1,0.8125,0,0
20181229,11,55.5,5.0454545454545,19,1,0.40909090909091,0,0
20181230,7,27.75,3.9642857142857,20,1,0.32142857142857,0,0
20181231,2,18.5,9.25,5,1,0.75,0,0
20190101,8,70.916666666667,8.8645833333333,10,1,0.71875,0,0
20190102,4,30.833333333333,7.7083333333333,6,1,0.625,0,0
20190103,6,37,6.1666666666667,11,1,0.5,0,0
20190104,3,12.333333333333,4.1111111111111,7,1,0.33333333333333,0,0
20190105,15,64.75,4.3166666666667,34,1,0.35,0,0
20190106,20,98.666666666667,4.9333333333333,43,1,0.4,0,0
20190107,29,154.16666666667,5.316091954023,46,1,0.43103448275862,0,0
20190108,15,101.75,6.7833333333333,29,1,0.55,0,0
20190109,27,172.66666666667,6.3950617283951,42,1,0.51851851851852,0,0
20190110,11,77.083333333333,7.0075757575758,39,1,0.56818181818182,0,0
20190111,12,74,6.1666666666667,29,1,0.5,0,0
20190112,10,77.083333333333,7.7083333333333,24,1,0.625,0,0
20190113,21,86.333333333333,4.1111111111111,43,1,0.33333333333333,0,0
20190114,15,89.416666666667,5.9611111111111,37,1,0.48333333333333,0,0
20190115,19,98.666666666667,5.1929824561404,34,1,0.42105263157895,0,0
20190116,20,89.416666666667,4.4708333333333,33,1,0.3625,0,0
20190117,17,135.66666666667,7.9803921568627,39,1,0.64705882352941,0,0
20190118,15,95.583333333333,6.3722222222222,28,1,0.51666666666667,0,0
20190119,25,163.41666666667,6.5366666666667,46,1,0.53,0,0
20190120,17,135.66666666667,7.9803921568627,36,1,0.64705882352941,0,0
20190121,9,49.333333333333,5.4814814814815,21,1,0.44444444444444,0,0
20190122,9,43.166666666667,4.7962962962963,27,1,0.38888888888889,0,0
20190123,10,64.75,6.475,21,1,0.525,0,0
20190124,6,40.083333333333,6.6805555555556,16,1,0.54166666666667,0,0
20190125,6,46.25,7.7083333333333,10,1,0.625,0,0
20190126,11,83.25,7.5681818181818,21,1,0.61363636363636,0,0
20190127,10,64.75,6.475,15,1,0.525,49,0
20190128,4,12.333333333333,3.0833333333333,12,1,0.25,28,0
20190129,10,67.833333333333,6.7833333333333,18,1,0.55,51.2,0
20190130,3,18.5,6.1666666666667,3,1,0.5,52.333333333333,0
20190131,7,40.083333333333,5.7261904761905,13,1,0.46428571428571,50.142857142857,0
20190201,4,33.916666666667,8.4791666666667,10,1,0.6875,84,0
20190202,7,49.333333333333,7.047619047619,14,1,0.57142857142857,64.857142857143,0
20190203,6,21.583333333333,3.5972222222222,14,1,0.29166666666667,21.166666666667,0
20190204,5,49.333333333333,9.8666666666667,8,1,0.8,80.2,0
20190205,1,3.0833333333333,3.0833333333333,4,1,0.25,0,0
20190206,0,0,0,0,0,0,0,0
20190207,2,18.5,9.25,2,1,0.75,67,0
20190208,4,21.583333333333,5.3958333333333,4,1,0.4375,45.75,0
20190209,1,0,0,2,1,0,7,0
20190210,1,9.25,9.25,2,1,0.75,86,0
20190211,0,0,0,2,1,0,0,0
20190212,1,9.25,9.25,2,1,0.75,90,0
20190213,1,3.0833333333333,3.0833333333333,2,1,0.25,25,0
20190214,0,0,0,0,0,0,0,0
20190215,1,9.25,9.25,1,1,0.75,88,0
20190216,0,0,0,0,0,0,0,0
20190217,3,18.5,6.1666666666667,5,1,0.5,87.333333333333,0
20190218,1,0,0,2,1,0,0,0
20190219,1,12.333333333333,12.333333333333,4,1,1,100,0
20190220,1,3.0833333333333,3.0833333333333,3,1,0.25,27,0
20190221,1,9.25,9.25,1,1,0.75,88,0
20190222,2,9.25,4.625,2,1,0.375,44,0
20190223,1,0,0,1,1,0,20,0
20190224,4,21.583333333333,5.3958333333333,4,1,0.4375,49.5,0
20190225,0,0,0,0,0,0,0,0
20190226,0,0,0,0,0,0,0,0
20190227,1,0,0,1,1,0,21,0
20190228,0,0,0,1,1,0,0,0
20190301,3,15.416666666667,5.1388888888889,4,1,0.41666666666667,39.333333333333,0
20190302,2,9.25,4.625,3,1,0.375,47.5,0
20190303,1,3.0833333333333,3.0833333333333,1,1,0.25,38,0
20190304,1,9.25,9.25,1,1,0.75,90,0
20190305,2,21.583333333333,10.791666666667,2,1,0.875,95,0
20190306,0,0,0,0,0,0,0,0
20190307,0,0,0,0,0,0,0,0
20190308,0,0,0,1,1,0,0,0
20190309,0,0,0,0,0,0,0,0
20190310,0,0,0,1,1,0,0,0
20190311,4,37,9.25,5,1,0.75,68.25,0
20190312,0,0,0,2,1,0,0,0
20190313,2,21.583333333333,10.791666666667,3,1,0.875,96,0
20190314,0,0,0,0,0,0,0,0
20190315,0,0,0,0,0,0,0,0
20190316,0,0,0,0,0,0,0,0
20190317,2,15.416666666667,7.7083333333333,4,1,0.625,78,0
20190318,1,9.25,9.25,1,1,0.75,77,0
20190319,2,9.25,4.625,3,1,0.375,49.5,0
20190320,0,0,0,1,1,0,0,0
20190321,0,0,0,0,0,0,0,0
20190322,0,0,0,1,1,0,0,0
20190323,0,0,0,1,1,0,0,0
20190324,4,27.75,6.9375,4,1,0.5625,64.75,0
20190325,0,0,0,0,0,0,0,0
20190326,0,0,0,0,0,0,0,0
20190327,1,9.25,9.25,2,1,0.75,87,0
20190328,0,0,0,2,1,0,0,0
20190329,0,0,0,0,0,0,0,0
20190330,0,0,0,0,0,0,0,0
20190331,1,6.1666666666667,6.1666666666667,1,1,0.5,66,0
20190401,0,0,0,3,2,0,0,0
20190402,2,12.333333333333,6.1666666666667,4,1,0.5,63.5,0
20190403,0,0,0,0,1,0,0,0
20190404,0,0,0,0,0,0,0,0
20190405,1,0,0,1,1,0,18,0
20190406,1,3.0833333333333,3.0833333333333,1,1,0.25,32,0
20190407,0,0,0,2,1,0,0,0
20190408,0,0,0,0,0,0,0,0
20190409,1,3.0833333333333,3.0833333333333,2,1,0.25,34,0
20190410,1,0,0,1,1,0,2,0
20190411,0,0,0,2,1,0,0,0
20190412,0,0,0,0,0,0,0,0
20190413,1,6.1666666666667,6.1666666666667,1,1,0.5,61,0
20190414,0,0,0,0,0,0,0,0
20190415,0,0,0,1,1,0,0,0
20190416,1,0,0,1,1,0,0,0
20190417,1,3.0833333333333,3.0833333333333,1,1,0.25,30,0
20190418,0,0,0,1,1,0,0,0
20190419,0,0,0,0,0,0,0,0
20190420,0,0,0,0,0,0,0,0
20190421,0,0,0,1,1,0,0,0
20190422,2,9.25,4.625,3,1,0.375,50,0
20190423,1,12.333333333333,12.333333333333,1,1,1,91,0
20190424,2,18.5,9.25,3,1,0.75,77.5,0
20190425,0,0,0,0,0,0,0,0
20190426,0,0,0,0,0,0,0,0
20190427,0,0,0,0,0,0,0,0
20190428,1,9.25,9.25,1,1,0.75,87,0
20190429,0,0,0,0,0,0,0,0
20190430,0,0,0,0,0,0,0,0
20190501,0,0,0,0,0,0,0,0
20190502,1,12.333333333333,12.333333333333,3,1,1,100,0
20190503,1,6.1666666666667,6.1666666666667,1,1,0.5,63,0
20190504,1,12.333333333333,12.333333333333,4,1,1,137,0
20190505,0,0,0,1,1,0,0,0
20190506,0,0,0,0,0,0,0,0
20190507,0,0,0,1,1,0,0,0
20190508,0,0,0,0,0,0,0,0
20190509,0,0,0,0,0,0,0,0
20190510,2,12.333333333333,6.1666666666667,4,1,0.5,57.5,0
20190511,1,9.25,9.25,1,1,0.75,88,0
20190512,1,12.333333333333,12.333333333333,2,1,1,100,0
20190513,0,0,0,0,0,0,0,0
20190514,1,0,0,1,1,0,2,0
20190515,0,0,0,0,0,0,0,0
20190516,0,0,0,0,0,0,0,0
20190517,0,0,0,0,0,0,0,0
20190518,1,3.0833333333333,3.0833333333333,1,1,0.25,33,0
20190519,0,0,0,1,1,0,0,0
20190520,0,0,0,0,0,0,0,0
20190521,0,0,0,0,0,0,0,0
20190522,2,0,0,2,1,0,3,0
20190523,0,0,0,0,0,0,0,0
20190524,1,9.25,9.25,1,1,0.75,94,0
20190525,0,0,0,1,1,0,0,0
20190526,0,0,0,0,0,0,0,0
20190527,0,0,0,1,1,0,0,0
20190528,0,0,0,0,0,0,0,0
20190529,0,0,0,0,0,0,0,0
20190530,0,0,0,1,1,0,0,0
20190531,0,0,0,0,0,0,0,0
20190601,0,0,0,1,1,0,0,0
20190602,0,0,0,2,1,0,0,0
20190603,3,9.25,3.0833333333333,4,1,0.25,34.666666666667,0
20190604,0,0,0,1,1,0,0,0
20190605,0,0,0,0,0,0,0,0
20190606,1,9.25,9.25,1,1,0.75,87,0
20190607,0,0,0,0,0,0,0,0
20190608,0,0,0,1,1,0,0,0
20190609,0,0,0,0,0,0,0,0
20190610,1,0,0,1,1,0,0,0
20190611,0,0,0,1,1,0,0,0
20190612,0,0,0,2,1,0,0,0
20190613,1,9.25,9.25,1,1,0.75,90,0
20190614,0,0,0,0,0,0,0,0
20190615,0,0,0,0,0,0,0,0
20190616,0,0,0,1,1,0,0,0
20190617,0,0,0,0,0,0,0,0
20190618,0,0,0,0,0,0,0,0
20190619,0,0,0,0,0,0,0,0
20190620,0,0,0,0,0,0,0,0
20190621,0,0,0,0,0,0,0,0
20190622,2,12.333333333333,6.1666666666667,4,1,0.5,45,0
20190623,0,0,0,1,1,0,0,0
20190624,0,0,0,3,1,0,0,0
20190625,0,0,0,0,0,0,0,0
20190626,0,0,0,0,0,0,0,0
20190627,2,21.583333333333,10.791666666667,2,1,0.875,70.5,0
20190628,0,0,0,0,0,0,0,0
20190629,0,0,0,0,0,0,0,0
20190630,0,0,0,0,0,0,0,0
20190701,1,0,0,0,1,0,6,0
20190702,0,0,0,0,0,0,0,0
20190703,0,0,0,0,0,0,0,0
20190704,0,0,0,0,0,0,0,0
20190705,3,24.666666666667,8.2222222222222,3,1,0.66666666666667,47,0
20190706,0,0,0,0,0,0,0,0
