"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-06-18 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_2nhgdld8"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180618,1,71.266666666667,71.266666666667,3,2,0.75,0,0
20180619,0,0,0,1,1,0,0,0
20180620,1,0,0,7,2,0,0,0
20180621,0,0,0,0,0,0,0,0
20180622,13,190.05,14.619230769231,36,1,0.15384615384615,0,0
20180623,6,142.55,23.758333333333,13,1,0.25,0,0
20180624,11,736.48333333333,66.95303030303,18,1,0.70454545454545,0,0
20180625,2,166.3,83.15,13,1,0.875,0,0
20180626,4,190.05,47.5125,19,1,0.5,0,0
20180627,1,0,0,6,1,0,0,0
20180628,0,0,0,6,1,0,0,0
20180629,4,118.76666666667,29.691666666667,10,1,0.3125,0,0
20180630,2,118.78333333333,59.391666666667,4,1,0.625,0,0
20180701,2,71.266666666667,35.633333333333,6,1,0.375,0,0
20180702,5,237.58333333333,47.516666666667,5,1,0.5,0,0
20180703,1,0,0,1,1,0,0,0
20180704,4,142.53333333333,35.633333333333,6,1,0.375,0,0
20180705,0,0,0,4,1,0,0,0
20180706,5,95.033333333333,19.006666666667,5,1,0.2,0,0
20180707,4,23.75,5.9375,5,1,0.0625,0,0
20180708,12,166.3,13.858333333333,17,1,0.14583333333333,0,0
20180709,2,23.75,11.875,4,1,0.125,0,0
20180710,3,0,0,4,1,0,0,0
20180711,2,0,0,3,1,0,0,0
20180712,2,0,0,4,1,0,0,0
20180713,2,95.016666666667,47.508333333333,2,1,0.5,0,0
20180714,0,0,0,1,1,0,0,0
20180715,2,47.516666666667,23.758333333333,4,1,0.25,0,0
20180716,1,47.516666666667,47.516666666667,3,1,0.5,0,0
20180717,0,0,0,0,0,0,0,0
20180718,3,71.266666666667,23.755555555556,4,1,0.25,0,0
20180719,1,0,0,2,1,0,0,0
20180720,1,0,0,3,1,0,0,0
20180721,1,95.033333333333,95.033333333333,2,1,1,0,0
20180722,0,0,0,4,1,0,0,0
20180723,2,47.516666666667,23.758333333333,7,1,0.25,0,0
20180724,0,0,0,6,1,0,0,0
20180725,0,0,0,2,1,0,0,0
20180726,0,0,0,1,1,0,0,0
20180727,1,0,0,4,1,0,0,0
20180728,1,0,0,1,1,0,0,0
20180729,2,0,0,4,1,0,0,0
20180730,3,0,0,8,1,0,0,0
20180731,0,0,0,1,1,0,0,0
20180801,1,23.75,23.75,4,1,0.25,0,0
20180802,2,95.033333333333,47.516666666667,5,1,0.5,0,0
20180803,0,0,0,0,0,0,0,0
20180804,1,0,0,2,1,0,0,0
20180805,0,71.266666666667,0,1,1,0,0,0
20180806,3,71.266666666667,23.755555555556,4,1,0.25,0,0
20180807,2,95.016666666667,47.508333333333,4,1,0.5,0,0
20180808,1,23.766666666667,23.766666666667,4,1,0.25,0,0
20180809,0,0,0,1,1,0,0,0
20180810,1,23.75,23.75,4,1,0.25,0,0
20180811,7,403.85,57.692857142857,7,1,0.60714285714286,0,0
20180812,2,95.033333333333,47.516666666667,5,1,0.5,0,0
20180813,2,142.53333333333,71.266666666667,3,1,0.75,0,0
20180814,0,0,0,0,0,0,0,0
20180815,2,0,0,3,1,0,0,0
20180816,0,0,0,1,1,0,0,0
20180817,0,0,0,0,0,0,0,0
20180818,0,0,0,3,1,0,0,0
20180819,0,0,0,1,1,0,0,0
20180820,0,0,0,0,0,0,0,0
20180821,0,0,0,0,0,0,0,0
20180822,0,0,0,0,0,0,0,0
20180823,2,71.266666666667,35.633333333333,4,1,0.375,0,0
20180824,1,0,0,1,1,0,0,0
20180825,3,190.06666666667,63.355555555556,4,1,0.66666666666667,0,0
20180826,0,0,0,1,1,0,0,0
20180827,0,0,0,0,0,0,0,0
20180828,0,0,0,0,0,0,0,0
20180829,0,0,0,0,0,0,0,0
20180830,1,23.75,23.75,1,1,0.25,0,0
20180831,0,0,0,1,1,0,0,0
20180901,1,0,0,2,1,0,0,0
20180902,0,0,0,0,0,0,0,0
20180903,0,0,0,0,0,0,0,0
20180904,0,0,0,0,0,0,0,0
20180905,0,0,0,0,0,0,0,0
20180906,0,0,0,0,0,0,0,0
20180907,6,47.516666666667,7.9194444444444,7,1,0.083333333333333,0,0
20180908,20,308.83333333333,15.441666666667,42,1,0.1625,0,0
20180909,18,380.08333333333,21.115740740741,53,1,0.22222222222222,0,0
20180910,10,71.266666666667,7.1266666666667,35,1,0.075,0,0
20180911,2,23.75,11.875,17,1,0.125,0,0
20180912,11,308.83333333333,28.075757575758,18,1,0.29545454545455,0,0
20180913,6,213.81666666667,35.636111111111,10,1,0.375,0,0
20180914,6,166.28333333333,27.713888888889,10,1,0.29166666666667,0,0
20180915,1,95.033333333333,95.033333333333,8,1,1,0,0
20180916,4,47.516666666667,11.879166666667,7,1,0.125,0,0
20180917,0,0,0,1,1,0,0,0
20180918,2,95.033333333333,47.516666666667,6,1,0.5,0,0
20180919,3,118.78333333333,39.594444444444,7,1,0.41666666666667,0,0
20180920,2,23.75,11.875,3,1,0.125,0,0
20180921,1,0,0,3,1,0,0,0
20180922,3,95.033333333333,31.677777777778,5,1,0.33333333333333,0,0
20180923,1,23.75,23.75,6,1,0.25,0,0
20180924,2,47.516666666667,23.758333333333,2,1,0.25,0,0
20180925,4,308.83333333333,77.208333333333,6,1,0.8125,0,0
20180926,0,0,0,2,1,0,0,0
20180927,1,23.75,23.75,2,1,0.25,0,0
20180928,0,0,0,2,1,0,0,0
20180929,3,47.516666666667,15.838888888889,4,1,0.16666666666667,0,0
20180930,4,95.016666666667,23.754166666667,8,1,0.25,0,0
20181001,1,23.766666666667,23.766666666667,2,1,0.25,0,0
20181002,1,0,0,2,1,0,0,0
20181003,0,0,0,1,1,0,0,0
